scientific_name,arrival_modes,arrival_bearing_spring,arrival_bearing_autumn,spring_window,autumn_window,flight_class,source_regions_spring,source_regions_autumn,note,source
Acanthis flammea hornemanni,"{autumn_drift,winter_irruption}",,350,,"[2000-10-15,2000-12-31]",,,"{SE,FI}",,architect_proposal
Acrocephalus agricola,"{spring_overshoot,autumn_drift}",130,100,"[2000-05-15,2000-06-30]","[2000-07-15,2000-09-15]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",,architect_proposal
Acrocephalus paludicola,"{spring_overshoot,post_breeding_dispersal}",190,190,"[2000-04-20,2000-06-20]","[2000-07-15,2000-09-30]",,,,S/SW overshoot + post-breeding dispersal,architect_proposal
Actitis macularius,{autumn_drift},,300,,"[2000-08-01,2000-10-31]",,,"{SE,FI,RU-LEN}",Nearctic; W/NW via Scandinavia,architect_proposal
Aegithalos caudatus europaeus,{winter_irruption},,230,,"[2000-10-15,2000-12-31]",,,,irruptive from SW,architect_proposal
Aegolius funereus,"{autumn_drift,winter_irruption}",,30,,"[2000-09-15,2000-11-30]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",EE breeder; irruptive influx from NE,architect_proposal
Aegypius monachus,{spring_overshoot},190,,"[2000-05-01,2000-07-31]",,,,,summer immatures; one window (draft split Jun/Jul is an artefact),architect_proposal
Aix galericulata,"{spring_overshoot,winter_irruption}",240,240,"[2000-03-15,2000-05-31]","[2000-10-15,2000-12-31]",,,,feral; low prior,architect_proposal
Aix sponsa,"{spring_overshoot,winter_irruption}",240,240,"[2000-03-15,2000-05-31]","[2000-10-15,2000-12-31]",,,,feral/escape; low prior,architect_proposal
Alle alle,"{autumn_drift,winter_irruption}",,340,,"[2000-10-15,2000-12-31]",,,"{SE,FI}",,architect_proposal
Alopochen aegyptiaca,"{spring_overshoot,post_breeding_dispersal}",230,230,"[2000-03-15,2000-06-30]","[2000-07-15,2000-10-15]",,"{LV,LT,PL,SE}",,feral NW-European expansion from SW,architect_proposal
Anarhynchus alexandrinus,{spring_overshoot},200,,"[2000-05-01,2000-06-20]",,,,,S/SW overshoot,architect_proposal
Anas carolinensis,"{spring_overshoot,winter_irruption}",260,300,"[2000-03-15,2000-05-31]","[2000-10-15,2000-12-31]",,,"{SE,FI,RU-LEN}",Nearctic duck; spring with dabbling-duck passage from W,architect_proposal
Anas rubripes,"{autumn_drift,winter_irruption}",,300,,"[2000-10-15,2000-12-31]",,,"{SE,FI,RU-LEN}",,architect_proposal
Anser albifrons flavirostris,"{spring_overshoot,autumn_drift}",240,300,"[2000-03-15,2000-04-30]","[2000-10-01,2000-11-15]",,,,Greenland whitefront with goose flocks from SW/NW,architect_proposal
Anser brachyrhynchus,"{spring_overshoot,autumn_drift}",230,320,"[2000-03-15,2000-05-10]","[2000-09-20,2000-11-15]",,,,"spring from Danish/Dutch wintering, autumn from Svalbard via Norway",architect_proposal
Anser caerulescens,"{spring_overshoot,autumn_drift}",240,300,"[2000-03-15,2000-05-15]","[2000-09-15,2000-11-15]",,,,feral/escape risk; treat with goose flocks,architect_proposal
Anser erythropus,"{spring_overshoot,autumn_drift}",170,40,"[2000-04-10,2000-05-15]","[2000-09-15,2000-10-31]",,,,Fennoscandian/Russian; spring via Hungary route from S,architect_proposal
Anser indicus,{spring_overshoot},240,,"[2000-04-15,2000-06-30]",,,,,feral; low prior,architect_proposal
Anser rossii,"{spring_overshoot,autumn_drift}",240,300,"[2000-03-15,2000-05-15]","[2000-09-15,2000-11-15]",,,,feral risk,architect_proposal
Anthus campestris,{spring_overshoot},190,,"[2000-05-01,2000-06-15]",,,"{LV,LT,PL,BY,RU-KGD}",,rare EE breeder; from S,architect_proposal
Anthus cervinus,"{spring_overshoot,autumn_drift}",150,30,"[2000-05-01,2000-06-05]","[2000-08-25,2000-10-10]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",regular migrant,architect_proposal
Anthus hodgsoni,{autumn_drift},,70,,"[2000-09-10,2000-11-15]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",Siberian reverse/drift migrant,architect_proposal
Anthus petrosus,"{spring_overshoot,autumn_drift}",290,330,"[2000-03-15,2000-04-30]","[2000-09-15,2000-11-15]",,,"{SE,FI}",Norwegian breeders; coastal,architect_proposal
Anthus richardi,{autumn_drift},,70,,"[2000-09-10,2000-11-15]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",Siberian reverse/drift migrant,architect_proposal
Anthus spinoletta,{spring_overshoot},210,,"[2000-04-20,2000-06-20]",,,,,S/SW overshoot,architect_proposal
Antigone canadensis,"{spring_overshoot,autumn_drift}",60,60,"[2000-04-01,2000-05-31]","[2000-09-01,2000-10-31]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",European records are Siberian-route birds with Grus grus; from E,architect_proposal
Apus pallidus,"{spring_overshoot,post_breeding_dispersal}",210,210,"[2000-04-20,2000-06-20]","[2000-07-15,2000-09-30]",,,,S/SW overshoot + post-breeding dispersal,architect_proposal
Aquila fasciata,{spring_overshoot},200,,"[2000-04-20,2000-06-30]",,,,,S/SW overshoot,architect_proposal
Aquila heliaca,{spring_overshoot},190,,"[2000-04-15,2000-07-15]",,,,,,architect_proposal
Ardea ibis,"{spring_overshoot,post_breeding_dispersal}",220,220,"[2000-04-15,2000-06-30]","[2000-07-15,2000-09-30]",,,,S/SW overshoot + post-breeding dispersal,architect_proposal
Ardea purpurea,"{spring_overshoot,post_breeding_dispersal}",190,190,"[2000-04-15,2000-06-30]","[2000-07-15,2000-09-30]",,,,S/SW overshoot + post-breeding dispersal,architect_proposal
Ardeola ralloides,{spring_overshoot},180,,"[2000-04-15,2000-06-30]",,,,,S/SW overshoot,architect_proposal
Aythya collaris,"{spring_overshoot,winter_irruption}",260,300,"[2000-03-15,2000-05-31]","[2000-10-15,2000-12-31]",,,"{SE,FI,RU-LEN}",Nearctic duck; spring with dabbling-duck passage from W,architect_proposal
Aythya nyroca,"{spring_overshoot,post_breeding_dispersal}",190,190,"[2000-04-15,2000-05-31]","[2000-08-15,2000-10-15]",,,,,architect_proposal
Botaurus minutus,{spring_overshoot},190,,"[2000-04-15,2000-06-30]",,,,,S/SW overshoot,architect_proposal
Branta bernicla nigricans,{autumn_drift},,30,,"[2000-09-15,2000-11-15]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",with Siberian brent flocks,architect_proposal
Branta ruficollis,"{spring_overshoot,autumn_drift}",160,60,"[2000-04-01,2000-05-15]","[2000-09-20,2000-11-10]",,,,with whitefront flocks,architect_proposal
Bubo bubo,{},,,,,,,,resident EE breeder — no arrival vector; exclude from scoring,architect_proposal
Bucephala islandica,"{spring_overshoot,winter_irruption}",320,330,"[2000-03-01,2000-04-30]","[2000-10-15,2000-12-31]",,,"{SE,FI}",Icelandic; very low prior,architect_proposal
Burhinus oedicnemus,{spring_overshoot},200,,"[2000-05-01,2000-06-20]",,,,,S/SW overshoot,architect_proposal
Buteo rufinus,"{spring_overshoot,autumn_drift}",130,110,"[2000-04-10,2000-06-15]","[2000-07-15,2000-10-15]",,,,,architect_proposal
Calandrella brachydactyla,"{spring_overshoot,autumn_drift}",130,100,"[2000-04-20,2000-06-20]","[2000-08-01,2000-10-15]",,"{LV,LT,BY,RU-KGD,PL}","{FI,RU-LEN,RU-KR,RU-PSK}",steppe/Caspian,architect_proposal
Calcarius lapponicus,"{spring_overshoot,autumn_drift}",20,20,"[2000-04-01,2000-05-10]","[2000-09-01,2000-10-31]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",,architect_proposal
Calidris acuminata,{autumn_drift},,60,,"[2000-07-10,2000-09-30]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",,architect_proposal
Calidris himantopus,{autumn_drift},,300,,"[2000-08-01,2000-10-31]",,,"{SE,FI,RU-LEN}",Nearctic; W/NW via Scandinavia,architect_proposal
Calidris melanotos,"{spring_overshoot,autumn_drift}",60,60,"[2000-05-20,2000-06-30]","[2000-07-10,2000-10-15]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",Siberian + Nearctic; from E/NE,architect_proposal
Calidris pusilla,{autumn_drift},,300,,"[2000-08-01,2000-10-31]",,,"{SE,FI,RU-LEN}",Nearctic; W/NW via Scandinavia,architect_proposal
Calidris subruficollis,{autumn_drift},,300,,"[2000-08-01,2000-10-31]",,,"{SE,FI,RU-LEN}",Nearctic; W/NW via Scandinavia,architect_proposal
Calidris temminckii,"{spring_overshoot,autumn_drift}",180,30,"[2000-05-05,2000-06-05]","[2000-07-10,2000-09-05]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",,architect_proposal
Calliope calliope,{autumn_drift},,70,,"[2000-09-10,2000-11-15]",,,"{FI,RU-LEN,RU-KR,RU-PSK}",Siberian reverse/drift migrant,architect_proposal
Calonectris diomedea,{autumn_drift},,290,,"[2000-08-15,2000-11-15]",,,"{SE,FI}",Atlantic; storm-driven via Danish straits,architect_proposal
Caracara plancus,{},,,,,,,,captive_or_ship_assisted_origin; no natural arrival vector — exclude from scoring,architect_proposal
Cecropis rufula,{spring_overshoot},190,,"[2000-04-20,2000-06-20]",,,,,S/SW overshoot,architect_proposal
Cepphus grylle,{autumn_drift},,340,,"[2000-09-15,2000-11-30]",,,"{SE,FI}",Baltic resident; post-breeding dispersal from N,architect_proposal
Certhia brachydactyla,{spring_overshoot},230,,"[2000-04-20,2000-06-20]",,,,,S/SW overshoot,architect_proposal
Cettia cetti,"{spring_overshoot,post_breeding_dispersal}",220,220,"[2000-04-20,2000-06-20]","[2000-07-15,2000-09-30]",,,,S/SW overshoot + post-breeding dispersal,architect_proposal
Chlidonias hybrida,{spring_overshoot},170,,"[2000-05-01,2000-06-20]",,,,,S/SW overshoot,architect_proposal
Chlidonias leucopterus,{spring_overshoot},140,,"[2000-05-05,2000-06-20]",,,,,regular; from SE,architect_proposal
Ciconia nigra,"{spring_overshoot,post_breeding_dispersal}",190,190,"[2000-04-15,2000-06-30]","[2000-07-15,2000-09-30]",,,,S/SW overshoot + post-breeding dispersal,architect_proposal
Circaetus gallicus,{spring_overshoot},190,,"[2000-04-20,2000-07-15]",,,,,spring/summer only,architect_proposal
Circus macrourus,"{spring_overshoot,autumn_drift}",120,100,"[2000-04-05,2000-05-31]","[2000-08-15,2000-10-15]",,"{LV,LT,BY,RU-KGD,PL}","{FI,RU-LEN,RU-KR,RU-PSK}",near-annual; corridor caspian,architect_proposal
Clanga clanga,"{spring_overshoot,autumn_drift}",170,90,"[2000-04-01,2000-05-20]","[2000-08-15,2000-10-20]",,,,EE breeder (few pairs); autumn drift from E,architect_proposal
Coracias garrulus,"{spring_overshoot,post_breeding_dispersal}",170,170,"[2000-04-20,2000-06-20]","[2000-07-15,2000-09-30]",,,,S/SW overshoot + post-breeding dispersal,architect_proposal
Corvus corone,"{spring_overshoot,autumn_drift}",240,240,"[2000-03-15,2000-05-15]","[2000-09-15,2000-11-15]",,"{LV,LT,PL,SE}",,from W (DK/DE/S Sweden),architect_proposal
Coturnix coturnix,{spring_overshoot},190,,"[2000-05-05,2000-07-15]",,,,,regular migrant; rare tier = EE status,architect_proposal
Curruca cantillans,{spring_overshoot},200,,"[2000-04-20,2000-06-20]",,,,,S/SW overshoot,architect_proposal
